"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"California"	"06"	"2013"	"2013"	"Apr., 2013"	"2013/04"	109	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"May, 2013"	"2013/05"	118	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Jun., 2013"	"2013/06"	131	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Jul., 2013"	"2013/07"	130	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Aug., 2013"	"2013/08"	113	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Sep., 2013"	"2013/09"	93	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Oct., 2013"	"2013/10"	93	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Nov., 2013"	"2013/11"	103	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Dec., 2013"	"2013/12"	94	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Jan., 2014"	"2014/01"	81	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Feb., 2014"	"2014/02"	93	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Mar., 2014"	"2014/03"	110	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Apr., 2014"	"2014/04"	107	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"May, 2014"	"2014/05"	117	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Jun., 2014"	"2014/06"	100	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Jul., 2014"	"2014/07"	99	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Aug., 2014"	"2014/08"	111	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Sep., 2014"	"2014/09"	102	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Oct., 2014"	"2014/10"	107	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Nov., 2014"	"2014/11"	106	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Dec., 2014"	"2014/12"	100	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Jan., 2015"	"2015/01"	110	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Feb., 2015"	"2015/02"	83	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Mar., 2015"	"2015/03"	121	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Apr., 2015"	"2015/04"	107	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"May, 2015"	"2015/05"	107	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Jun., 2015"	"2015/06"	130	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Jul., 2015"	"2015/07"	125	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Aug., 2015"	"2015/08"	120	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Sep., 2015"	"2015/09"	122	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Oct., 2015"	"2015/10"	118	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Nov., 2015"	"2015/11"	121	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Dec., 2015"	"2015/12"	132	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Jan., 2016"	"2016/01"	111	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Feb., 2016"	"2016/02"	104	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Mar., 2016"	"2016/03"	105	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Apr., 2016"	"2016/04"	123	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"May, 2016"	"2016/05"	118	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Jun., 2016"	"2016/06"	141	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Jul., 2016"	"2016/07"	129	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Aug., 2016"	"2016/08"	146	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Sep., 2016"	"2016/09"	123	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Oct., 2016"	"2016/10"	126	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Nov., 2016"	"2016/11"	139	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Dec., 2016"	"2016/12"	102	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Jan., 2017"	"2017/01"	121	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Feb., 2017"	"2017/02"	116	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Mar., 2017"	"2017/03"	108	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Apr., 2017"	"2017/04"	123	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"May, 2017"	"2017/05"	129	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Jun., 2017"	"2017/06"	122	Not Applicable	Not Applicable
